1 & 31 & VAMOS\\ \hline 
2 & 30 & SPLC\\ \hline 
3 & 13 & ASE\\ \hline 
4 & 11 & ICSE\\ \hline 
5 & 8 & MODELS\\ \hline 
6 & 6 & SAC\\ \hline 
7 & 5 & ICST\\ \hline 
8 & 5 & ICSR\\ \hline 
9 & 4 & VARY\\ \hline 
10 & 4 & RE\\ \hline 
11 & 4 & ECSA\\ \hline 
12 & 4 & AOSD\\ \hline 
13 & 3 & BSSCAR\\ \hline 
14 & 3 & SSBSE\\ \hline 
15 & 3 & ESEC/FSE\\ \hline 
16 & 3 & ICSOC\\ \hline 
17 & 3 & GPCE\\ \hline 
18 & 3 & PLEASE\\ \hline 
19 & 3 & MAPLE/SCALE\\ \hline 
20 & 3 & WCRE\\ \hline 
21 & 3 & FASE\\ \hline 
22 & 2 & REPOS\\ \hline 
23 & 2 & FMSPLE\\ \hline 
24 & 2 & ICSTW\\ \hline 
25 & 2 & ECSMR\\ \hline 
26 & 2 & ASME\\ \hline 
27 & 2 & ICWS\\ \hline 
28 & 2 & SEAA\\ \hline 
29 & 2 & OOPSLA\\ \hline 
30 & 2 & GECCO\\ \hline 
31 & 2 & FormaliSE\\ \hline 
32 & 2 & SCC\\ \hline 
33 & 2 & CAISE\\ \hline 
34 & 2 & CW\\ \hline 
35 & 2 & FOSD\\ \hline 
36 & 1 & ECMFA\\ \hline 
37 & 1 & TAP\\ \hline 
38 & 1 & CSER\\ \hline 
39 & 1 & CSERP\\ \hline 
40 & 1 & OTM\\ \hline 
41 & 1 & RESER\\ \hline 
42 & 1 & ETFA\\ \hline 
43 & 1 & WETICE\\ \hline 
44 & 1 & SLE\\ \hline 
45 & 1 & APSEC\\ \hline 
46 & 1 & MODELSWARD\\ \hline 
47 & 1 & SMART\\ \hline 
48 & 1 & IMC\\ \hline 
49 & 1 & ICSOFT-EA\\ \hline 
50 & 1 & KOPLE\\ \hline 
51 & 1 & ISSEASM\\ \hline 
52 & 1 & PLDI\\ \hline 
53 & 1 & SEAMS\\ \hline 
54 & 1 & ISLAFMVV\\ \hline 
55 & 1 & ER\\ \hline 
56 & 1 & ICPC\\ \hline 
57 & 1 & ISOLA\\ \hline 
58 & 1 & ICSSP\\ \hline 
59 & 1 & EICS\\ \hline 
60 & 1 & SPLAT\\ \hline 
61 & 1 & COMPSAC\\ \hline 
62 & 1 & CSCWD\\ \hline 
63 & 1 & SMT\\ \hline 
64 & 1 & RCIS\\ \hline 
65 & 1 & IRI\\ \hline 
66 & 1 & MultiPLE\\ \hline 
67 & 1 & FutureTech\\ \hline 
68 & 1 & FSKD\\ \hline 
69 & 1 & ICECCS\\ \hline 
70 & 1 & MISE\\ \hline 
71 & 1 & MRT\\ \hline 
72 & 1 & WCREE\\ \hline 
73 & 1 & IFM\\ \hline 
74 & 1 & CLOSER\\ \hline 
75 & 1 & FMCO\\ \hline 
76 & 1 & ICSM\\ \hline 
77 & 1 & CSTVA\\ \hline 
78 & 1 & EMBS\\ \hline 
79 & 1 & ICSEFM\\ \hline 
80 & 1 & HiStencils\\ \hline 
81 & 1 & ICCSE\\ \hline 
82 & 1 & ECAI\\ \hline 
83 & 1 & IEEM\\ \hline 
84 & 1 & DSPL\\ \hline 
85 & 1 & PIC\\ \hline 
86 & 1 & CP\\ \hline 
87 & 1 & CMSBSE\\ \hline 
88 & 1 & DocEng\\ \hline 
89 & 1 & RSSE\\ \hline 
90 & 1 & ISSRE\\ \hline 
91 & 1 & ENASE\\ \hline 
92 & 1 & FOSE\\ \hline 
93 & 1 & CEESET\\ \hline 
Journals;;;
1 & 14 & IST\\ \hline 
2 & 10 & JSS\\ \hline 
3 & 8 & SQJ\\ \hline 
4 & 7 & SCP\\ \hline 
5 & 6 & TSE\\ \hline 
6 & 5 & STTT\\ \hline 
7 & 4 & IJSEKE\\ \hline 
8 & 4 & ESA\\ \hline 
9 & 4 & SOSYM\\ \hline 
10 & 3 & JUCS\\ \hline 
11 & 2 & JKSU\\ \hline 
12 & 2 & ASEJ\\ \hline 
13 & 2 & JS\\ \hline 
14 & 2 & FGCS\\ \hline 
15 & 2 & ESE\\ \hline 
16 & 2 & IET\\ \hline 
17 & 1 & IJECE\\ \hline 
18 & 1 & ISRN\\ \hline 
19 & 1 & Software-IEEE\\ \hline 
20 & 1 & JCRD\\ \hline 
21 & 1 & ENTCS\\ \hline 
22 & 1 & Informatica\\ \hline 
23 & 1 & CandG\\ \hline 
24 & 1 & JBI\\ \hline 
25 & 1 & JSEP\\ \hline 
26 & 1 & ACMS\\ \hline 
27 & 1 & AUJ\\ \hline 
28 & 1 & Computer\\ \hline 
29 & 1 & TASE\\ \hline 
30 & 1 & JSC\\ \hline 
31 & 1 & ADPKM\\ \hline 
32 & 1 & AISE\\ \hline 
33 & 1 & IJISMD\\ \hline 
34 & 1 & AISC\\ \hline 
35 & 1 & EJOR\\ \hline 
36 & 1 & ACMCS\\ \hline 
37 & 1 & IS\\ \hline 
38 & 1 & SIMULATION\\ \hline 
39 & 1 & TAOSD\\ \hline 
40 & 1 & TIE\\ \hline 
41 & 1 & REJ\\ \hline 
42 & 1 & ECEASST\\ \hline 
43 & 1 & ITC\\ \hline 
44 & 1 & STVR\\ \hline 
45 & 1 & CJC\\ \hline 
46 & 1 & CJE\\ \hline 
